customer_id,credit_score,account_age_days,is_fraudster,ssn_masked,phone_masked,email_masked,customer_name_hash,address_generalized,ip_masked
CUST_00000,498.9037110255372,2949,False,XXX-XX-1860,(XXX) XXX-6191,c*****@email.com,bb049ee1757d82f4f23e8f22d3a504dcd161fb2fd420b18d3033211c7713483c,"XXXX Main St, City, State",122.211.215.XXX
CUST_00001,650.7196575036572,489,False,XXX-XX-1769,(XXX) XXX-7949,c*****@email.com,6bcc11a930d0bc7851ed598887f3c43a86d55fbf22a7def213ac7492508eafd3,"XXXX Main St, City, State",192.188.21.XXX
CUST_00002,846.5648768921554,592,False,XXX-XX-9666,(XXX) XXX-8849,c*****@email.com,f244bd83c7e795623478d6d30464fe4a043d1cf83ce80102766c76ac2f832a7c,"XXXX Main St, City, State",220.188.208.XXX
CUST_00003,677.4223699513465,2465,False,XXX-XX-2528,(XXX) XXX-4890,c*****@email.com,e2c3fae40e09261fb6dd4f620907dbb4113f146f36b1975d4e1aeb3bb0fbaf8b,"XXXX Main St, City, State",21.73.167.XXX
CUST_00004,663.1829058656459,3182,False,XXX-XX-8513,(XXX) XXX-7235,c*****@email.com,3b65e8edbc31aba74b4b08800e36931b85da4a69485531132ad85d25c9359d4f,"XXXX Main St, City, State",188.199.172.XXX
CUST_00005,737.5564633840694,1609,False,XXX-XX-4073,(XXX) XXX-4843,c*****@email.com,a3d48263451d22ded4c04da670155ed02aae6a31c61840840b10981893f14d8e,"XXXX Main St, City, State",221.191.146.XXX
CUST_00006,777.3700416833682,2294,False,XXX-XX-8629,(XXX) XXX-2016,c*****@email.com,dc4f0da227e22742d61a497c3198c291ec4b5683309d278afbe2f05dc8703e28,"XXXX Main St, City, State",40.213.208.XXX
CUST_00007,646.185833833704,1525,True,XXX-XX-6276,(XXX) XXX-9006,c*****@email.com,0650ace075b50f624e84b4cc3b445f2498f198d01af06f81f4da9b036948596c,"XXXX Main St, City, State",88.129.236.XXX
CUST_00008,733.1263431403564,3007,False,XXX-XX-1391,(XXX) XXX-6892,c*****@email.com,6aadeed9438c23b1a925a1759eb8474d31cbfe315af2074cb079c069bfee2afa,"XXXX Main St, City, State",231.250.41.XXX
CUST_00009,797.5545127122359,1515,False,XXX-XX-9996,(XXX) XXX-9154,c*****@email.com,94db37ffa6b53eaec7e4a384396a98d9a6d8186cb632b0ac48f145ca385bcfd1,"XXXX Main St, City, State",193.227.101.XXX
